"name","party","screen_name","class"
"acquaroli francesco","fdi","AcquaroliF","D"
"acunzo nicola","m5s","nicola_acunzo","D"
"adelizzi cosimo","m5s","cosimo_adelizzi","D"
"aiello davide","m5s","DavideAiello85","D"
"aiello piera","m5s","aiello_piera","D"
"alaimo roberta","m5s",NA,"D"
"alemanno maria soave","m5s",NA,"D"
"amitrano alessandro","m5s","AleAmitrano","D"
"andreuzza giorgia","lega","GiorgiAndreuzza","D"
"angelucci antonio","fi","DocAngelucci","D"
"angiola nunzio","m-02","NunzioAngiola","D"
"annibali lucia","iv","LAnnibali","D"
"anzaldi michele","iv","Michele_Anzaldi","D"
"aprea valentina","fi","ApreaValentina","D"
"aprile nadia","m-02",NA,"D"
"aresta giovanni luca","m5s","glaresta","D"
"ascani anna","pd","AnnaAscani","D"
"ascari stefania","m5s","stefania_ascari","D"
"azzolina lucia","m5s","AzzolinaLucia","D"
"badole mirco","lega","mirco_badole","D"
"bagnasco roberto","fi","RobBagnasco","D"
"baldelli simone","fi","simonebaldelli","D"
"baldini maria teresa","fdi","mtbaldini","D"
"baldino vittoria","m5s","BaldinoVittoria","D"
"baratto raffaele","fi",NA,"D"
"barbuto elisabetta maria","m5s",NA,"D"
"barelli paolo","fi",NA,"D"
"baroni anna lisa","fi","annalisabaroni","D"
"baroni massimo enrico","m5s",NA,"D"
"bartolozzi giusi","fi","giusibartolozzi","D"
"barzotti valentina","m5s","barzotti_lavoro","D"
"basini giuseppe","lega",NA,"D"
"battelli sergio","m5s","BattelliSergio","D"
"battilocchio alessandro","fi","AleBattilocchio","D"
"bazoli alfredo","pd","alfredobazoli","D"
"bazzaro alex","lega","AlexBazzaro","D"
"bella marco","m5s","DonMarcoMori","D"
"bellachioma giuseppe ercole","lega",NA,"D"
"bellucci maria teresa","fdi","MaresaBellucci","D"
"belotti daniele","lega","DanieleBelotti1","D"
"benamati gianluca","pd","GBenamati","D"
"bendinelli davide","iv","d_bendinelli","D"
"benedetti silvia","m-02","SilviaPortavoce","D"
"benigni stefano","m-03","stefanobenigni","D"
"benvenuto alessandro manuel","lega",NA,"D"
"berardini fabio","m5s","fabioberardini","D"
"bergamini deborah","fi","DeborahBergamin","D"
"berlinghieri marina","pd","M_Berlinghieri","D"
"bersani pier luigi","leu","pbersani","D"
"berti francesco","m5s","FrancescoBerti_","D"
"bianchi matteo luigi","lega","luigi_matteo","D"
"biancofiore michaela","fi","BiancofioreMiky","D"
