"name","party","screen_name","class"
"giuseppe conte",NA,"GiuseppeConteIT","P"
"federico d'incà","m5s","FedericoDinca","P"
"Paola Pisano","m5s","PaolaPisano_Min","P"
"Fabiana Dadone","m5s","DadoneFabiana","P"
"Francesco Boccia","pd","F_Boccia","P"
"Giuseppe Provenzano","pd","peppeprovenzano","P"
"Vincenzo Spadafora","m5s","vinspadafora","P"
"Elena Bonetti","iv","elenabonetti","P"
"Vincenzo Amendola","pd","amendolaenzo","P"
"Luigi Di Maio","m5s","luigidimaio","P"
"Luciana Lamorgese",NA,"LucianaLamorge5","P"
"Alfonso Bonafede","m5s","AlfonsoBonafede","P"
"Lorenzo Guerini","pd","guerini_lorenzo","P"
"Roberto Gualtieri","pd","gualtierieurope","P"
"Stefano Patuanelli","m5s","SPatuanelli","P"
"Teresa Bellanova","iv","TeresaBellanova","P"
"Sergio Costa","m5s","SergioCosta_min","P"
"Paola De Micheli","pd","paola_demicheli","P"
"Nunzia Catalfo","m5s","CatalfoNunzia","P"
"Lucia Azzolina","m5s","AzzolinaLucia","P"
"Gaetano Manfredi",NA,NA,"P"
"Dario Franceschini","pd","dariofrance","P"
"Roberto Speranza","art1","robersperanza","P"
