"name","party","screen_name","class"
"Renzo Testolin","Union Valdôtaine",NA,"R"
"Alberto Cirio","fi","Alberto_Cirio","R"
"Giovanni Toti","Cambiamo!","GiovanniToti","R"
"Attilio Fontana","Lega","FontanaPres","R"
"Luca Zaia","Lega","zaiapresidente","R"
"Arno Kompatscher","Südtiroler Volkspartei","ArnoKompatscher","R"
"Massimiliano Fedriga","Lega","M_Fedriga","R"
"Stefano Bonaccini","pd","sbonaccini","R"
"Enrico Rossi","pd","rossipresidente","R"
"Luca Ceriscioli","pd","ceriscioliluca","R"
"Donatella Tesei","Lega","Donatella_Tesei","R"
"Nicola Zingaretti","pd","nzingaretti","R"
"Marco Marsilio","fdi","marcomarsilio","R"
"Donato Toma","fi","TomaDonato","R"
"Vincenzo De Luca","pd","VincenzoDeLuca","R"
"Michele Emiliano","Indipendentedi centro-sinistra[12]","micheleemiliano","R"
"Vito Bardi","fi",NA,"R"
"Jole Santelli","fi","SantelliJole","R"
"Nello Musumeci","#DiventeràBellissima","Musumeci_Staff","R"
"Christian Solinas","Partito Sardo d'Azione",NA,"R"
