"name","party","class","screen_name"
"abate rosa silvana","m5s","S",NA
"accoto rossella","m5s","S","rossellaaccoto"
"agostinelli donatella","m5s","S",NA
"aimi enrico","fi","S","AimiEnrico"
"airola alberto","m5s","S","AlbertoAirola"
"alberti casellati maria elisabetta","fi","S","Pres_Casellati"
"alderisi francesca","fi","S",NA
"alfieri alessandro","pd","S","ale_alfieri"
"anastasi cristiano","m5s","S","AnastasiMv5"
"angrisani luisa","m5s","S",NA
"arrigoni paolo","lega","S","arrigoni_paolo"
"astorre bruno","pd","S","BrunoAstorre"
"auddino giuseppe","m5s","S","AuddinoG"
"augussori luigi","lega","S","augussori"
"bagnai alberto","lega","S","AlbertoBagnai"
"balboni alberto","fdi","S",NA
"barachini alberto","fi","S","abarachini"
"barbaro claudio","lega","S","ClaudioBarbaro"
"barboni antonio","fi","S","Antonio_Barboni"
"battistoni francesco","fi","S","frabattistoni"
"bellanova teresa","pd","S","TeresaBellanova"
"berardi roberto","fi","S","Roby_Berardi"
"bergesio giorgio maria","lega","S","GiorgioBergesio"
"bernini anna maria","fi","S","BerniniAM"
"bertacco stefano","fdi","S","BertaccoS"
"berutti massimo vittorio","fi","S",NA
"biasotti sandro mario","fi","S",NA
"binetti paola","fi","S","paolabinetti"
"bini caterina","pd","S",NA
"biti caterina","pd","S","caterinabiti"
"bogo deledda vittoria francesca maria","m5s","S",NA
"boldrini paola","pd","S","boldrini_paola"
"bonfrisco anna cinzia","lega","S","BonfriscoAnna"
"bongiorno giulia","lega","S",NA
"bonifazi francesco","pd","S","FrancescoBonif1"
"bonino emma","misto","S","emmabonino"
"borghesi stefano","lega","S","BorghesiStefano"
"borgonzoni lucia","lega","S","BorgonzoniPres"
"bossi simone","lega","S","SimoneBossiLega"
"bossi umberto","lega","S",NA
"bottici laura","m5s","S","LauraBottici"
"botto elena","m5s","S","elenabotto_m5s"
"bressa gianclaudio","aut (svp-patt; uv)","S","GianclaudioB"
"briziarelli luca","lega","S",NA
"bruzzone francesco","lega","S","BruzzoneLega"
"buccarella maurizio","misto","S","MBuccarella"
"calandrini nicola","fdi","S","calandriniLT"
"calderoli roberto","lega","S",NA
"caliendo giacomo","fi","S",NA
"campagna antonella","m5s","S",NA
"campari maurizio","lega","S","MaurizioCampari"
"candiani stefano","lega","S","CandianiStefano"
"candura massimo","lega","S",NA
"cangini andrea","fi","S","andrea_cangini"
"cantu' maria cristina","lega","S",NA
"carbone vincenzo","fi","S",NA
"cario adriano","misto","S","AdrianoCario"
"casini pier ferdinando","aut (svp-patt; uv)","S","Pierferdinando"
"casolati marzia","lega","S",NA
"castaldi gianluca","m5s","S","GianlucaVasto"
"castellone maria domenica","m5s","S","MariaDomenicaC4"
"castiello francesco","m5s","S",NA
"catalfo nunzia","m5s","S","CatalfoNunzia"
"cattaneo elena","aut (svp-patt; uv)","S",NA
"causin andrea","fi","S","Andreacausin72"
"centinaio gian marco","lega","S","giamma71"
"cerno tommaso","pd","S","Tommasocerno"
"cesaro luigi","fi","S",NA
"ciampolillo lello","m5s","S","ciampolillom5s"
"cioffi andrea","m5s","S","andrea_cioffi"
"ciriani luca","fdi","S","ciriani_luca"
"cirinna' monica","pd","S","MonicaCirinna"
"collina stefano","pd","S","CollinaStefano"
"coltorti mauro","m5s","S",NA
"comincini eugenio","pd","S","Comincini"
"conzatti donatella","fi","S","DonaConzatti"
"corbetta gianmarco","m5s","S","GianmarCorbetta"
"corrado margherita","m5s","S",NA
"craxi stefania gabriella anastasia","fi","S",NA
"crimi vito claudio","m5s","S","vitocrimi"
"croatti marco","m5s","S","CroattiMarco"
"crucioli mattia","m5s","S",NA
"cucca giuseppe luigi salvatore","pd","S",NA
"d'alfonso luciano","pd","S","lucianodalfonso"
"dal mas franco","fi","S",NA
"damiani dario","fi","S","DamianiDario"
"d'angelo grazia","m5s","S","gradang75"
"d'arienzo vincenzo","pd","S","DArienzoVincenz"
"de bertoldi andrea","fdi","S","AdeBertoldi"
"de bonis saverio","misto","S",NA
"de falco gregorio","misto","S","GregoriodeFalco"
"dell'olio gianmauro","m5s","S","gmdellolio"
"de lucia danila","m5s","S","DeLuciaDanila"
"de petris loredana","misto","S","PetrisDe"
"de poli antonio","fi","S","AntonioDePoli"
"de siano domenico","fi","S","DomenicoDeSiano"
"dessi' emanuele","m5s","S","leledessi"
"de vecchis william","lega","S","WVecchis"
"di girolamo gabriella","m5s","S","GabriDiGirolamo"
"di marzio luigi","m5s","S",NA
"di micco fabio","m5s","S",NA
"di nicola primo","m5s","S","primodinicola"
"di piazza stanislao","m5s","S",NA
"donno daniela","m5s","S","DanielaDonno"
"drago tiziana carmela rosaria","m5s","S",NA
"durnwalder meinhard","aut (svp-patt; uv)","S",NA
"endrizzi giovanni","m5s","S","Endrizzi_M5S"
"errani vasco","misto","S",NA
"evangelista elvira lucia","m5s","S","ElviraLuciaEva1"
"faggi antonella","lega","S",NA
"fantetti raffaele","fi","S","FantettiRaff"
"faraone davide","pd","S","davidefaraone"
"fattori elena","m5s","S","Fattorisenato5s"
"fazzolari giovanbattista","fdi","S","GioFazzolari"
"fazzone claudio","fi","S",NA
"fede giorgio","m5s","S","GiorgioFede"
"fedeli valeria","pd","S","valeriafedeli"
"fenu emiliano","m5s","S","EmilianoFenu"
"ferrara gianluca","m5s","S","gianluc_ferrara"
"ferrari alan","pd","S","alnferrari"
"ferrazzi andrea","pd","S","ferrazzi_andrea"
"ferrero roberta","lega","S","RobertaFerrero4"
"ferro massimo","fi","S",NA
"floridia barbara","m5s","S","FloridiaBarbara"
"floris emilio","fi","S",NA
"fregolent sonia","lega","S",NA
"fusco umberto","lega","S",NA
"galliani adriano","fi","S",NA
"gallicchio agnese","m5s","S","AgnesGallicchio"
"gallone maria alessandra","fi","S",NA
"garavini laura","pd","S","LauraGaravini"
"garnero santanche' daniela","fdi","S",NA
"garruti vincenzo","m5s","S","vincenzogarruti"
"gasparri maurizio","fi","S","gasparripdl"
"gaudiano felicia","m5s","S",NA
"ghedini niccolo'","fi","S",NA
"giacobbe francesco","pd","S","sengiacobbe"
"giammanco gabriella","fi","S","GabriGiammanco"
"giannuzzi silvana","m5s","S","giannuzzis10"
"giarrusso mario michele","m5s","S","GiarrussoMario"
"ginetti nadia","pd","S",NA
"giro francesco maria","fi","S",NA
"girotto gianni pietro","m5s","S",NA
"granato bianca laura","m5s","S","BLGranatoM5S"
"grassi ugo","m5s","S",NA
"grasso pietro","misto","S","PietroGrasso"
"grimani leonardo","pd","S","grimani72"
"guidolin barbara","m5s","S","GuidolinBarbara"
"iannone antonio","fdi","S","AntonioIannone"
"iori vanna","pd","S","vannaio"
"iwobi tony chike","lega","S",NA
"l'abbate patty","m5s","S","Patty_LAbbate"
"laforgia francesco","misto","S","fralaforgia"
"la mura virginia","m5s","S","virginialamura"
