testata,rss
Corriere della Sera,http://xml2.corriereobjects.it/rss/homepage.xml
Sole 24 Ore Economia,https://www.ilsole24ore.com/rss/economia.xml
Sole 24 ore Italia,https://www.ilsole24ore.com/rss/italia.xml
Sole 24 Ore Mondo,https://www.ilsole24ore.com/rss/mondo.xml
Repubblica,http://www.repubblica.it/rss/homepage/rss2.0.xml
La Stampa,http://feed.lastampa.it/Homepage.rss
Il Giornale,https://www.ilgiornale.it/feed.xml
La Verita,https://www.laverita.info/feeds/popular.rss
Libero,https://www.liberoquotidiano.it/rss.xml
Avvenire,https://www.avvenire.it/rss/home
Il Post,http://www.ilpost.it/feed
ANSA,https://www.ansa.it/sito/ansait_rss.xml
AGI,https://www.agi.it/rss/
Huffington Post,https://www.huffingtonpost.it/rss/index.xml
Il Manifesto,https://ilmanifesto.it/feed/
Espresso,https://espresso.repubblica.it/rss?sezione=espresso
Il Foglio,https://www.ilfoglio.it/rss.jsp?sezione=108
Il Fatto Quotidiano,https://www.ilfattoquotidiano.it/feed/
Il Riformista,https://www.ilriformista.it/feed
Il Messaggero,https://www.ilmessaggero.it/rss.php
Il Secolo XIX,https://www.ilsecoloxix.it/rss/finegil/ilsecoloxix/feed.rss
Il Tempo,https://www.iltempo.it/rss.jsp?sezione=108
Rai News,http://www.rainews.it/dl/rainews/rss/ContentSet-945f3230-f5e5-4292-a9b0-4e8bf5d266ef-0.html
Adkronos,http://rss.adnkronos.com/RSS_PrimaPagina.xml
Fan Page,https://www.fanpage.it/feed/
Internazionale,https://www.internazionale.it/sitemaps/rss.xml
Linkiesta,https://www.linkiesta.it/feed/
Panorama,https://www.panorama.it/feed/
Famiglia Cristiana,https://www.famigliacristiana.it/_rss/di-cosa-parliamo---articoli.aspx
Il Mattino,https://www.ilmattino.it/index.php?sez=XML&args[box]=Home&p=search&limit=20&layout=rss
La Nazione,https://www.lanazione.it/rss/
Open,https://www.open.online/feed/
Secolo d'Italia,https://www.secoloditalia.it/rss
Giornale di Brescia,https://www.giornaledibrescia.it/giornale-di-brescia-1.3000408?ot=gdb.page.layout.AjaxPageLayout.ot
Wired,https://www.wired.it/rss
Quotidiano.net,http://www.quotidiano.net/rss/
Left,https://left.it/feed/
Le Formiche,https://formiche.net/feed/
Il Sussidiario,https://www.ilsussidiario.net/feed-rss/
