"name","country","pol_group","id","pol_party","screen_name"
"isabella adinolfi","Italy","NaM","124831","M5S","Isa_Adinolfi"
"matteo adinolfi","Italy","ID","197826","Lega","adinolfi_matteo"
"simona baldassarre","Italy","ID","197789","Lega","SR_Baldassarre"
"pietro bartolo","Italy","S&D","197808","PD","bartolopietro1"
"alessandra basso","Italy","ID","197610","Lega","alebassoMEP"
"tiziana beghin","Italy","NaM","124777","M5S","beghin_t"
"brando benifei","Italy","S&D","124867","PD","brandobenifei"
"sergio berlato","Italy","ECR","4746","FdI","SERGIOBERLATO"
"silvio berlusconi","Italy","PPE","4391","FI","berlusconi"
"mara bizzotto","Italy","ID","97198","Lega","marabizzotto"
"simona bonafè","Italy","S&D","124814","PD","simonabonafe"
"anna bonfrisco","Italy","ID","197788","Lega","BonfriscoAnna"
"paolo borchia","Italy","ID","101039","Lega","PaoloBorchia"
"carlo calenda","Italy","S&D","197617","AZ","CarloCalenda"
"marco campomenosi","Italy","ID","35016","Lega","MCampomenosi"
"andrea caroppo","Italy","ID","197797","Lega","caroppo_andrea"
"massimo casanova","Italy","ID","197796","Lega",NA
"fabio massimo castaldo","Italy","NaM","124812","M5S","FMCastaldo"
"susanna ceccardi","Italy","ID","197786","Lega","SusannaCeccardi"
"caterina chinnici","Italy","S&D","124861","PD","CaterinaChinnic"
"angelo ciocca","Italy","ID","183793","Lega","AngeloCiocca"
"rosanna conte","Italy","ID","197616","Lega","Rosannaconte_"
"ignazio corrao","Italy","NaM","124856","M5S","ignaziocorrao"
"andrea cozzolino","Italy","S&D","96880","PD","cozzolino62"
"rosa d'amato","Italy","NaM","124835","M5S","rosadamato634"
"nicola danti","Italy","RE","124821","IV","DantiNicola"
"gianantonio da re","Italy","ID","197608","Lega","GianantonioDaRe"
"salvatore de meo","Italy","PPE","204333","FI","salv_de_meo"
"paolo de castro","Italy","S&D","96891","PD","paolodecastro"
"francesca donato","Italy","ID","197822","Lega","ladyonorato"
"herbert dorfmann","Italy","PPE","96787","SV","HerbertDorfmann"
"marco dreosto","Italy","ID","197614","Lega","MarcoDreosto"
"eleonora evi","Italy","NaM","124779","M5S","EleonoraEvi"
"giuseppe ferrandino","Italy","S&D","192634","PD","giosiferrandino"
"laura ferrara","Italy","NaM","124833","M5S","LFerraraM5S"
"carlo fidanza","Italy","ECR","96810","FdI","FidanzaCarlo"
"pietro fiocchi","Italy","ECR","197607","FdI","FiocchiPietro"
"raffaele fitto","Italy","ECR","4465","FdI","RaffaeleFitto"
"mario furore","Italy","NaM","197795","M5S","MarioFurore"
"gianna gancia","Italy","ID","197582","Lega","giannagancia"
"chiara gemma","Italy","NaM","197794","M5S","chgemma68"
"dino giarrusso","Italy","NaM","197804","M5S","DinoGiarrusso"
"valentino grant","Italy","ID","197799","Lega","_GrantValentino"
"elisabetta gualmini","Italy","S&D","197618","PD","gualminielisa"
"danilo oscar lancini","Italy","ID","192635","Lega","DOscarLancini"
"elena lizzi","Italy","ID","197611","Lega","elenalizzi"
"pierfrancesco majorino","Italy","S&D","197592","PD","pfmajorino"
"fulvio martusciello","Italy","PPE","124828","FI","fulviomartuscie"
"giuseppe milazzo","Italy","PPE","197824","FI","G_Milazzo"
"alessandra moretti","Italy","S&D","124799","PD","ale_moretti"
"alessandro panza","Italy","ID","99283","Lega","Ale_panza"
"aldo patriciello","Italy","PPE","36392","FI","PatricielloAldo"
"piernicola pedicini","Italy","NaM","124844","M5S","PediciniM5S"
"pina picierno","Italy","S&D","124846","PD","pinapic"
"sabrina pignedoli","Italy","NaM","197619","M5S","SabriPignedoli"
"giuliano pisapia","Italy","S&D","197590","In","giulianopisapia"
"nicola procaccini","Italy","ECR","197820","FdI","NProcaccini"
"luisa regimenti","Italy","ID","197790","Lega","luisaregimenti"
"antonio maria rinaldi","Italy","ID","197787","Lega","Rinaldi_euro"
"franco roberti","Italy","S&D","197801","PD",NA
"daniela rondinelli","Italy","NaM","197792","M5S","Dani_Rondinelli"
"massimiliano salini","Italy","PPE","125670","FI","MaxSalini"
"silvia sardone","Italy","ID","197578","Lega","SardoneSilvia"
"david maria sassoli","Italy","S&D","96864","PD","DavidSassoli"
"massimiliano smeriglio","Italy","S&D","197791","PD","maxsmeriglio"
"vincenzo sofo","Italy","ID","204334","Lega","vincesofo"
"raffaele stancanelli","Italy","ECR","197825","FdI","r_stancanelli"
"antonio tajani","Italy","PPE","2187","FI","Antonio_Tajani"
"annalisa tardino","Italy","ID","197806","Lega","TardinoAnnalisa"
"irene tinagli","Italy","S&D","197591","PD","itinagli"
"patrizia toia","Italy","S&D","28340","PD","toiapatrizia"
"isabella tovaglieri","Italy","ID","197580","Lega","isatovaglieri"
"lucia vuolo","Italy","ID","197798","Lega","LuciaVuoloEU"
"stefania zambelli","Italy","ID","197586","Lega","ZambelliLega"
"marco zanni","Italy","ID","124780","Lega","Marcozanni86"
"marco zullo","Italy","NaM","125237","M5S","MarcoZullo"
