"name","party","screen_name","class"
"giuseppe conte",NA,"giuseppeconteit","P"
"federico d'incà","m5s","federicodinca","P"
"paola pisano","m5s","paolapisano_min","P"
"fabiana dadone","m5s","dadonefabiana","P"
"francesco boccia","pd","f_boccia","P"
"giuseppe provenzano","pd","peppeprovenzano","P"
"vincenzo spadafora","m5s","vinspadafora","P"
"elena bonetti","iv","elenabonetti","P"
"vincenzo amendola","pd","amendolaenzo","P"
"luigi di maio","m5s","luigidimaio","P"
"luciana lamorgese",NA,"lucianalamorge5","P"
"alfonso bonafede","m5s","alfonsobonafede","P"
"lorenzo guerini","pd","guerini_lorenzo","P"
"roberto gualtieri","pd","gualtierieurope","P"
"stefano patuanelli","m5s","spatuanelli","P"
"teresa bellanova","iv","teresabellanova","P"
"sergio costa","m5s","sergiocosta_min","P"
"paola de micheli","pd","paola_demicheli","P"
"nunzia catalfo","m5s","catalfonunzia","P"
"lucia azzolina","m5s","azzolinalucia","P"
"gaetano manfredi",NA,NA,"P"
"dario franceschini","pd","dariofrance","P"
"roberto speranza","art1","robersperanza","P"
"abate rosa silvana","m5s","rosabta","S"
"accoto rossella","m5s","rossellaaccoto","S"
"agostinelli donatella","m5s",NA,"S"
"aimi enrico","fi","aimienrico","S"
"airola alberto","m5s","albertoairola","S"
"alberti casellati maria elisabetta","fi","pres_casellati","S"
"alderisi francesca","fi",NA,"S"
"alfieri alessandro","pd","ale_alfieri","S"
"anastasi cristiano","m5s","anastasimv5","S"
"angrisani luisa","m5s","fofino3","S"
"arrigoni paolo","lega","arrigoni_paolo","S"
"astorre bruno","pd","brunoastorre","S"
"auddino giuseppe","m5s","auddinog","S"
"augussori luigi","lega","augussori","S"
"bagnai alberto","lega","albertobagnai","S"
"balboni alberto","fdi",NA,"S"
"barachini alberto","fi","abarachini","S"
"barbaro claudio","lega","claudiobarbaro","S"
"barboni antonio","fi","antonio_barboni","S"
"battistoni francesco","fi","frabattistoni","S"
"bellanova teresa","pd","teresabellanova","S"
"berardi roberto","fi","roby_berardi","S"
"bergesio giorgio maria","lega","giorgiobergesio","S"
"bernini anna maria","fi","berniniam","S"
"bertacco stefano","fdi","bertaccos","S"
"berutti massimo vittorio","fi","mberutt","S"
"biasotti sandro mario","fi","sandrobiasotti","S"
"binetti paola","fi","paolabinetti","S"
"bini caterina","pd","caterinabini","S"
"biti caterina","pd","caterinabiti","S"
"bogo deledda vittoria francesca maria","m5s",NA,"S"
"boldrini paola","pd","boldrini_paola","S"
"bonfrisco anna cinzia","lega","bonfriscoanna","S"
"bongiorno giulia","lega","gbongiorno66","S"
"bonifazi francesco","pd","francescobonif1","S"
"bonino emma","misto","emmabonino","S"
"borghesi stefano","lega","borghesistefano","S"
"borgonzoni lucia","lega","borgonzonipres","S"
"bossi simone","lega","simonebossilega","S"
"bossi umberto","lega",NA,"S"
"bottici laura","m5s","laurabottici","S"
"botto elena","m5s","elenabotto_m5s","S"
"bressa gianclaudio","aut (svp-patt; uv)","gianclaudiob","S"
"briziarelli luca","lega",NA,"S"
"bruzzone francesco","lega","bruzzonelega","S"
"buccarella maurizio","misto","mbuccarella","S"
"calandrini nicola","fdi","calandrinilt","S"
"calderoli roberto","lega",NA,"S"
"caliendo giacomo","fi",NA,"S"
"campagna antonella","m5s",NA,"S"
"campari maurizio","lega","mauriziocampari","S"
"candiani stefano","lega","candianistefano","S"
"candura massimo","lega","maxcandura","S"
"cangini andrea","fi","andrea_cangini","S"
"cantu' maria cristina","lega",NA,"S"
"carbone vincenzo","fi",NA,"S"
"cario adriano","misto","adrianocario","S"
"casini pier ferdinando","aut (svp-patt; uv)","pierferdinando","S"
"casolati marzia","lega",NA,"S"
"castaldi gianluca","m5s","gianlucavasto","S"
"castellone maria domenica","m5s","mariadomenicac4","S"
"castiello francesco","m5s",NA,"S"
"catalfo nunzia","m5s","catalfonunzia","S"
"cattaneo elena","aut (svp-patt; uv)",NA,"S"
"causin andrea","fi","andreacausin72","S"
"centinaio gian marco","lega","giamma71","S"
"cerno tommaso","pd","tommasocerno","S"
"cesaro luigi","fi","luigicesaro_","S"
"ciampolillo lello","m5s","ciampolillom5s","S"
"cioffi andrea","m5s","andrea_cioffi","S"
"ciriani luca","fdi","ciriani_luca","S"
"cirinna' monica","pd","monicacirinna","S"
"collina stefano","pd","collinastefano","S"
"coltorti mauro","m5s",NA,"S"
"comincini eugenio","pd","comincini","S"
"conzatti donatella","fi","donaconzatti","S"
"corbetta gianmarco","m5s","gianmarcorbetta","S"
"corrado margherita","m5s",NA,"S"
"craxi stefania gabriella anastasia","fi","stefaniacraxi","S"
"crimi vito claudio","m5s","vitocrimi","S"
"croatti marco","m5s","croattimarco","S"
"crucioli mattia","m5s",NA,"S"
"cucca giuseppe luigi salvatore","pd","giuseppeluigicu","S"
"d'alfonso luciano","pd","lucianodalfonso","S"
"dal mas franco","fi",NA,"S"
"damiani dario","fi","damianidario","S"
"d'angelo grazia","m5s","gradang75","S"
"d'arienzo vincenzo","pd","darienzovincenz","S"
"de bertoldi andrea","fdi","adebertoldi","S"
"de bonis saverio","misto",NA,"S"
"de falco gregorio","misto","gregoriodefalco","S"
"dell'olio gianmauro","m5s","gmdellolio","S"
"de lucia danila","m5s","deluciadanila","S"
"de petris loredana","misto","petrisde","S"
"de poli antonio","fi","antoniodepoli","S"
"de siano domenico","fi","domenicodesiano","S"
"dessi' emanuele","m5s","leledessi","S"
"de vecchis william","lega","wvecchis","S"
"di girolamo gabriella","m5s","gabridigirolamo","S"
"di marzio luigi","m5s",NA,"S"
"di micco fabio","m5s","mc_mick","S"
"di nicola primo","m5s","primodinicola","S"
"di piazza stanislao","m5s",NA,"S"
"donno daniela","m5s","danieladonno","S"
"drago tiziana carmela rosaria","m5s","tiziana_drago","S"
"durnwalder meinhard","aut (svp-patt; uv)",NA,"S"
"endrizzi giovanni","m5s","endrizzi_m5s","S"
"errani vasco","misto",NA,"S"
"evangelista elvira lucia","m5s","elviraluciaeva1","S"
"faggi antonella","lega","antonellafaggi","S"
"fantetti raffaele","fi","fantettiraff","S"
"faraone davide","pd","davidefaraone","S"
"fattori elena","m5s","fattorisenato5s","S"
"fazzolari giovanbattista","fdi","giofazzolari","S"
"fazzone claudio","fi",NA,"S"
"fede giorgio","m5s","giorgiofede","S"
"fedeli valeria","pd","valeriafedeli","S"
"fenu emiliano","m5s","emilianofenu","S"
"ferrara gianluca","m5s","gianluc_ferrara","S"
"ferrari alan","pd","alnferrari","S"
"ferrazzi andrea","pd","ferrazzi_andrea","S"
"ferrero roberta","lega","robertaferrero4","S"
"ferro massimo","fi",NA,"S"
"floridia barbara","m5s","floridiabarbara","S"
"floris emilio","fi",NA,"S"
"fregolent sonia","lega",NA,"S"
"fusco umberto","lega",NA,"S"
"galliani adriano","fi",NA,"S"
"gallicchio agnese","m5s","agnesgallicchio","S"
"gallone maria alessandra","fi","alegallone","S"
"garavini laura","pd","lauragaravini","S"
"garnero santanche' daniela","fdi","dsantanche","S"
"garruti vincenzo","m5s","vincenzogarruti","S"
"gasparri maurizio","fi","gasparripdl","S"
"gaudiano felicia","m5s",NA,"S"
"ghedini niccolo'","fi",NA,"S"
"giacobbe francesco","pd","sengiacobbe","S"
"giammanco gabriella","fi","gabrigiammanco","S"
"giannuzzi silvana","m5s","giannuzzis10","S"
"giarrusso mario michele","m5s","giarrussomario","S"
"ginetti nadia","pd",NA,"S"
"giro francesco maria","fi","fgiro31","S"
"girotto gianni pietro","m5s","giannigirotto","S"
"granato bianca laura","m5s","blgranatom5s","S"
"grassi ugo","m5s",NA,"S"
"grasso pietro","misto","pietrograsso","S"
"grimani leonardo","pd","grimani72","S"
"guidolin barbara","m5s","guidolinbarbara","S"
"iannone antonio","fdi","antonioiannone","S"
"iori vanna","pd","vannaio","S"
"iwobi tony chike","lega","votatoni","S"
"l'abbate patty","m5s","patty_labbate","S"
"laforgia francesco","misto","fralaforgia","S"
"la mura virginia","m5s","virginialamura","S"
"laniece albert","aut (svp-patt; uv)","albertlaniece","S"
"lannutti elio","m5s","eliolannutti","S"
"lanzi gabriele","m5s","gablanzi","S"
"la pietra patrizio giacomo","fdi","lapietrasenato","S"
"la russa ignazio","fdi","ignazio_larussa","S"
"laus mauro antonio donato","pd","maurolaus","S"
"leone cinzia","m5s","leonem5s","S"
"lezzi barbara","m5s",NA,"S"
"licheri ettore antonio","m5s","ettore_licheri","S"
"lomuti arnaldo","m5s","lomutiarnaldo","S"
"lonardo alessandrina","fi","lonardosandra","S"
"lorefice pietro","m5s",NA,"S"
"lucidi stefano","m5s","sfnlcd","S"
"lupo giulia","m5s","giulialupo2","S"
"maffoni gianpietro","fdi","gianpietromaffo","S"
"magoni lara","fdi","laramagoni","S"
"magorno ernesto","pd","emagorno","S"
"maiorino alessandra","m5s","maiorinom5s","S"
"malan lucio","fi","luciomalan","S"
"mallegni massimo","fi","massimomallegni","S"
"malpezzi simona flavia","pd","simonamalpezzi","S"
"manca daniele","pd","daniele_manca","S"
"mangialavori giuseppe tommaso vincenzo","fi","gmangialavori","S"
"mantero matteo","m5s","manterom5s","S"
"mantovani maria laura","m5s","mantolalla","S"
"marcucci andrea","pd","andreamarcucci","S"
"margiotta salvatore","pd","s_margiotta","S"
"marilotti gianni","m5s","giannimarilotti","S"
"marin raffaella fiormaria","lega","raffaellamarin","S"
"marinello gaspare antonio","m5s",NA,"S"
"marino mauro maria","pd","mauro_m_marino","S"
"marsilio marco","fdi","marcomarsilio","S"
"martelli carlo","misto","carlo_martelli","S"
"marti roberto","lega","robertomarti74","S"
